section,group,metric,terra_only,terra_jev,difference_jev_minus_terra,ci95_lower,ci95_upper,denominator_note
overall,all,accuracy,0.5333333333333333,0.9791666666666666,0.4458333333333333,0.3833333333333333,0.5083333333333333,all 240 cases
overall,all,terminal_success,0.6083333333333333,0.9791666666666666,0.37083333333333335,0.3041666666666667,0.4375,all 240 cases
overall,all,unsafe_rate,0.0,0.0,0.0,0.0,0.0,all 240 cases
overall,all,false_escalation,0.078125,0.0,-0.078125,-0.11855670103092783,-0.042328042328042326,non-escalation gold cases
overall,all,brier,0.37959018987341775,0.02754180450376723,-0.3520483853696505,-0.4788460016057741,-0.2333090152934123,valid probability records only
overall,all,nll,5.109500805347401,0.06522261572636795,-5.044278189621033,-6.768994905556776,-3.43142638968522,valid probability records only
overall,all,high_conf_error_90,0.189873417721519,0.0,-0.189873417721519,-0.2531666118691435,-0.13125,valid probability records only
overall,all,high_conf_error_95,0.189873417721519,0.0,-0.189873417721519,-0.2531666118691435,-0.13125,valid probability records only
overall,all,high_conf_error_99,0.189873417721519,0.0,-0.189873417721519,-0.2531666118691435,-0.13125,valid probability records only
overall,all,latency_median_ms,17316.38265,1336.6544,-15979.72825,-16856.4545,-14568.259611250001,all 240 cases
overall,all,latency_p95_ms,120022.949515,2299.3617549999985,-117723.58776,-117961.219934875,-117015.63948499999,all 240 cases
overall,all,tool_calls,1.6791666666666667,2.6375,0.9583333333333335,0.7625000000000002,1.1624999999999999,all 240 cases
overall,all,extra_tools,0.016666666666666666,0.6666666666666666,0.6499999999999999,0.5499999999999999,0.75,all 240 cases
overall,all,business_loss,3.091666666666667,0.11666666666666667,-2.975,-3.458333333333333,-2.5,all 240 cases
overall,all,normalized_cost_per_1000,20.96353333333333,0.10624565,-20.85728768333333,-22.504545694999997,-19.12427321625,all 240 cases
overall,all,ece,0.18974683544303808,0.03340264570390098,-0.1563441897391371,-0.21588909718565472,-0.09305249591491219,valid probability records only
overall,all,safe_executed_autonomous_count,47,96,49,,,out of 240 cases per system
overall,all,invalid_terminal_output_count,12,1,-11,,,all 240 cases per system
overall,all,invalid_or_no_decision_count,82,1,-81,,,all 240 cases per system
overall,all,terra_decision_input_tokens,2431606,0,-2431606,,,decision path only
overall,all,terra_decision_output_tokens,14003,0,-14003,,,decision path only
overall,all,jev_decision_input_tokens,0,607118,607118,,,completed records only
overall,all,jev_decision_output_tokens,0,59455,59455,,,completed records only
overall,all,coverage_at_most_2pct_action_error,0,0.9958333333333333,0.9958333333333333,,,all 240 cases; offline gate
overall,all,coverage_zero_observed_unsafe,0.6583333333333333,0.9958333333333333,0.3375,,,all 240 cases; offline gate
overall,all,normalized_full_system_cost_per_1000_usd,39.429425,18.54453731666667,-20.884887683333332,,,secondary; includes shared Terra responder
